RESULTADOS MIOS,,,,,,
1,SÍ,4,"[(0.03496842707585611, 0.48693187845338254), (0.03496842707585611, 0.5017780762970545), (0.03496842707585611, 0.5107845411692976), (0.03547092994817845, 0.5177805867113912), (0.0359734328205008, 0.5247766322534846), (0.03647593569282315, 0.5263403178103097), (0.03647593569282315, 0.5263403178103097), (0.03563337776908113, 0.522213151948233), (0.03479081984533912, 0.5101984654623094), (0.033299632586333464, 0.4981837789763858), (0.03243693046348893, 0.4898793476970173), (0.031574228340644404, 0.48907003730536386), (0.03141515513015171, 0.4965150586378636), (0.03125608191965902, 0.5002253138444186), (0.03174563804442998, 0.5039355690509737), (0.031606709033039804, 0.5032414073094197), (0.03209358532736929, 0.5025472455678657), (0.032719390633088964, 0.49772591796423526), (0.03334519593880863, 0.4970317562226814), (0.03334519593880863, 0.49498185741383594), (0.03334519593880863, 0.49362612034654446), (0.03334519593880863, 0.49227038327925293), (0.032719390633088964, 0.48866701977433935), (0.032719390633088964, 0.4873112827070479), (0.032719390633088964, 0.4873112827070479), (0.03334519593880863, 0.4880797497344268), (0.03360615970182927, 0.4908981155706512), (0.034492928770569586, 0.4970958564447999), (0.035327738278314744, 0.5094741671035979), (0.037458952365915274, 0.5334598378800104), (0.03934409296253076, 0.5486864322655203), (0.04058853798139098, 0.5634122580900428), (0.04221271481498583, 0.5817597652774728), (0.0430442576228145, 0.5982647404319279), (0.043205201156507465, 0.6031623554687687), (0.04253460188237176, 0.6094649156798363), (0.04374813046700034, 0.6208040098323427), (0.0445819272368943, 0.6273896740216394), (0.04728027741350272, 0.6273896740216394), (0.051306593203197824, 0.6208040098323426), (0.05857871807529329, 0.6208040098323426), (0.06504917824152887, 0.6041601157732897)]",5.8133604,8.6526293,0
-------,-------,-------,-------,-------,-------,-------
2,NO,5,"[(0.3473798071917648, 0.4902098648347296), (0.3426190418566989, 0.49856248659901004), (0.33766473340999215, 0.5069151083632905), (0.3347846056212177, 0.5250425997617556), (0.3328787674977641, 0.5407059734199524), (0.33097292937431055, 0.5677254538918548), (0.3333112271823852, 0.599278727963469), (0.3372236028118373, 0.631528517591453), (0.3415583040564402, 0.6474184180048703), (0.34955472233502327, 0.6640048339746574), (0.3620868863593718, 0.6676766164367176), (0.3794602452610836, 0.668637054617153), (0.39683360416279534, 0.6689009772412186), (0.4146316477776642, 0.6697818641478331), (0.4337017310300203, 0.6672548912164531), (0.44823606853661085, 0.6683292360285986), (0.45401683553638617, 0.669403580840744), (0.4597976025361614, 0.6666126852852987), (0.4647313592076287, 0.6639013410036739), (0.4647313592076287, 0.6677665813712647), (0.4647313592076287, 0.6691319375841347), (0.4600117529079193, 0.6661566706784445), (0.4525994861624584, 0.6713872672589052), (0.4441219830492635, 0.6785708466549392), (0.43519811185799107, 0.6864474536638177), (0.42521307996665286, 0.6879250537284215), (0.41794766414083073, 0.6937432769115854), (0.41025829407662434, 0.6952208769761893), (0.403634160380152, 0.6997791449566246), (0.39705482004484594, 0.7044071566256364), (0.39193821512651694, 0.7141742380177948), (0.38882160044238134, 0.7280051500719755), (0.38882160044238134, 0.7479080044686285), (0.39215236549827487, 0.7627772081338765), (0.39588470527107955, 0.7669464577876409), (0.39921547032697297, 0.7757809359991116), (0.399215470326973, 0.7805515835485599), (0.39881389561006186, 0.7827003251974239), (0.392597952366343, 0.784849066846288), (0.38151506399284846, 0.7930697508376241), (0.370432175619354, 0.7904478449370398), (0.36268005230175304, 0.7816133667255692), (0.3601964488308389, 0.7582104073403226), (0.3671863410772326, 0.731555648693895)]",7.0296907,10.1137567,0
-------,-------,-------,-------,-------,-------,-------
3,BIEN,10,"[(0.5709177884461588, 0.1804826720811726), (0.5709842259421855, 0.19876123858203215), (0.5725688264199217, 0.22394602006893122), (0.574153426897658, 0.24235973484845097), (0.5766597974011789, 0.26475549399592235), (0.5775815674269633, 0.28715125314339385), (0.5785033374527478, 0.29623228860018963), (0.5817206421473649, 0.2869064602618708), (0.5856137287200296, 0.2775806319235519), (0.5907869323809682, 0.24802605671241595), (0.5940142791210254, 0.21161918499458351), (0.5962717255805694, 0.2025930252288275), (0.5972035376517941, 0.20688158915374716), (0.5994054247658526, 0.214153421405563), (0.6023846726253029, 0.2479803068179533), (0.6103685292702997, 0.28802710106177065), (0.6209783970611432, 0.29436687706575426), (0.6315130627635698, 0.2771831251952782), (0.640101871545115, 0.257016104997906), (0.6457114324672096, 0.2193819180811603), (0.6482622415246395, 0.17923722226756747), (0.6492318803330899, 0.15655969317334817), (0.6483371821409933, 0.15341679660123164), (0.6457863730835637, 0.15341679660123164), (0.6432355640261339, 0.15494966194999032), (0.6406847549687043, 0.16184920259937982), (0.6397151161602538, 0.17525094120770138), (0.6380590052949204, 0.19477587516314263), (0.6397151161602538, 0.21399822567273885), (0.6446655601056172, 0.2288473977073049), (0.6496160040509806, 0.23534959566623695), (0.6496160040509806, 0.24147279101335664), (0.6585708684081928, 0.23534959566623695), (0.6662001575194875, 0.2263860871928458), (0.6621064578536682, 0.22638608719284586), (0.658012758187849, 0.23319493235010916), (0.6606855420282727, 0.23632652214795985), (0.6631151629272114, 0.24313536730522314), (0.6585082065292946, 0.24994421246248652), (0.6606628132534427, 0.2530758022603372), (0.6628174199775909, 0.25552174224804414), (0.661499876275526, 0.25307580226033716), (0.6509721352989191, 0.25307580226033716), (0.6493050427239003, 0.24926163493545123)]",6.2416489,11.6415886,0
-------,-------,-------,-------,-------,-------,-------
4,MAL,11,"[(0.9474783653366498, 0.2030034546415596), (0.9591657197611742, 0.22665171507292176), (0.9666210809277118, 0.24950195602729472), (0.9719514423476712, 0.27967381882762643), (0.9772917648591888, 0.2993158545757988), (0.979872290500005, 0.3150915531339744), (0.9801921557231503, 0.33194379936035856), (0.9805120209462957, 0.34565274398664786), (0.9802846289375706, 0.35328506065686394), (0.9800472758372875, 0.36091737732708007), (0.9798099227370043, 0.36455392351149196), (0.9798099227370043, 0.3657989174013775), (0.9798099227370042, 0.3683589159175809), (0.9798099227370043, 0.3709778937282886), (0.9798099227370043, 0.37755848069476505), (0.9798976005446278, 0.3876112665589777), (0.9798976005446278, 0.39897905704950826), (0.9805307093730427, 0.40903184291372086), (0.981251496009081, 0.4228072520460987), (0.9813391738167045, 0.4373478436297115), (0.9813391738167045, 0.44710123168927024), (0.9811790841336636, 0.456854619748829), (0.9804636023382731, 0.46188121620138406), (0.9804636023382731, 0.46188121620138406), (0.9817075921327433, 0.4490415829168189), (0.9830383876437125, 0.43710780524544557), (0.9845292728377227, 0.42038682405001815), (0.9859424413156674, 0.40839263446159446), (0.9861422867043625, 0.4045112865507322), (0.9857312511270022, 0.40874278031743155), (0.9858831425609047, 0.4046228953315339), (0.9860350339948072, 0.40505758942777226), (0.9861869254287097, 0.4039065236887122), (0.9868366581564715, 0.3946426162720907), (0.9869572327275808, 0.38696446869076756), (0.986348152374277, 0.38673184424884954), (0.9863109850062928, 0.38673184424884954), (0.9862738176383085, 0.38226594308884043), (0.9862366502703243, 0.36989081181623806), (0.9867286410589925, 0.3471799476324083), (0.987300554044312, 0.33321905652450756), (0.987300554044312, 0.31925816541660684), (0.9867286410589925, 0.3025989622280846), (0.9852887271247586, 0.2866208004644842), (0.9838488131905248, 0.2793926117768129), (0.9810828607969111, 0.2624291221090761)]",1.9748347,5.957214,0
-------,-------,-------,-------,-------,-------,-------
5,TAB. VERBOS,1,"[(0.4419845568016541, 0.95195037290597), (0.4338366444599016, 0.999999999), (0.4304744030890625, 0.999999999), (0.42391980077250324, 0.999999999), (0.4226919643923089, 0.999999999), (0.4166996601894043, 0.999999999), (0.411935192366694, 0.999999999), (0.411935192366694, 0.999999999), (0.411935192366694, 0.999999999), (0.41638954300492886, 0.999999999), (0.425608361465874, 0.999999999), (0.43692743160514363, 0.999999999), (0.4434820339217028, 0.999999999), (0.4539082716743974, 0.999999999), (0.4590077434907272, 0.999999999), (0.4681011487041483, 0.999999999), (0.4750943022392452, 0.999999999), (0.48208745577434203, 0.999999999), (0.48520897387330353, 0.999999999), (0.48920290727039495, 0.999999999), (0.489522449305118, 0.999999999), (0.489522449305118, 0.999999999), (0.4916569242882029, 0.999999999), (0.4963575599898095, 0.999999999), (0.4984920349728944, 0.999999999), (0.4969201618031768, 0.999999999), (0.49349453371362983, 0.999999999), (0.48548716051747887, 0.999999999), (0.4732220972642782, 0.999999999), (0.4627615674354256, 0.999999999), (0.45644947101882616, 0.999999999), (0.4523106715567791, 0.999999999), (0.4523106715567791, 0.999999999), (0.45400220089530696, 0.999999999), (0.4564553575280085, 0.999999999), (0.45814688686653626, 0.999999999), (0.4622190251514361, 0.999999999), (0.46459963409780813, 0.999999999), (0.46459963409780813, 0.999999999), (0.4669802430441801, 0.999999999), (0.4669802430441802, 0.999999999), (0.4619661428935077, 0.999999999), (0.4583560490858404, 0.999999999), (0.45425977795679123, 0.999999999), (0.44778289788137, 0.999999999), (0.44368662675232073, 0.999999999), (0.442223846827572, 0.999999999), (0.4393570605598181, 0.999999999), (0.4393570605598181, 0.999999999), (0.4344939846172415, 0.999999999), (0.42768641994982204, 0.999999999), (0.4208788552824025, 0.999999999)]",2.5105371,19.0870758,0
5,QUERER,9,"[(0.2626163496842123, 0.4316492208029879), (0.2623855551107163, 0.4148134974493815), (0.2623855551107163, 0.40061677709363536), (0.268797524910795, 0.40000064306487076), (0.2768193375897074, 0.4052078197964134), (0.2877286960997553, 0.4132922432144559), (0.301902497349667, 0.41856903936263057), (0.3164235194441892, 0.42726959680943777), (0.32740223944769925, 0.43597015425624497), (0.33788899422601937, 0.4382312669139804), (0.3504623347630342, 0.43966040649786314), (0.3627951426067259, 0.4386899966200712), (0.3743235281154106, 0.43724188951745385), (0.3829822459150288, 0.42248966306486163), (0.3905230860610031, 0.40835357064103395), (0.39308979461714727, 0.3970524340731455), (0.39467221759770765, 0.38575129750525705), (0.3973108543364165, 0.366068561886541), (0.39994949107512534, 0.35222624515605305), (0.4025881278138342, 0.33415949673193446), (0.40522676455254303, 0.3121230120096145), (0.40582577682029497, 0.2884455665868243), (0.40516064894120596, 0.2751039126801289), (0.40252201220249717, 0.26922595923518033), (0.3998833754637882, 0.2671875350213582), (0.39724473872507937, 0.2640104407118247), (0.3946061019863706, 0.26057612399506647), (0.3926325931267507, 0.258064861499541), (0.3901500090830151, 0.25555359900401553), (0.3890419216311475, 0.2534272389709944), (0.3885328464470318, 0.2515290558632993), (0.3862968208197908, 0.2515290558632993), (0.38561363945244403, 0.2515290558632993), (0.3891399925719582, 0.24660968670078082), (0.39129184909960435, 0.24169031753826237), (0.3911177429163733, 0.2367709483757438), (0.39267058717626757, 0.23691592624836785), (0.3911177429163733, 0.2398821414499197), (0.38939079247324804, 0.24494648848506223), (0.3861109977702285, 0.25001083552020475), (0.3861109977702285, 0.2550751825553473), (0.3893472258042161, 0.25001083552020475), (0.3975356026602245, 0.24212525115613434)]",7.2941056,19.0870758,0
