Prueba,Palabra,Indice Casilla,Coordenadas,Tiempo,Tiempo Total,Errores
1,YO,4,"[(0.19381754623865505, 0.725307498642463), (0.1914229855225579, 0.7315824188511368), (0.18745996781060642, 0.7400879544545289), (0.18571573601091498, 0.7485049771037955), (0.18397150421122355, 0.7545097715350927), (0.18130690175122913, 0.757351239728228), (0.1788762557954892, 0.7626049361393329), (0.17881746211523475, 0.7650171643573022), (0.1794450825910288, 0.7650171643573022), (0.17921112608677428, 0.7650171643573022), (0.17921112608677428, 0.765017164357302), (0.17897716958251975, 0.7626049361393329), (0.17793981779863402, 0.7584089829086392), (0.17707824081858545, 0.7531552864975345), (0.177939817798634, 0.7513715614848102), (0.17880139477868254, 0.7495878364720857), (0.18052516071861674, 0.7498572310391509), (0.1838787008229751, 0.7540531842698447), (0.18924432220285273, 0.7571640470300454), (0.1937483666026818, 0.7592171666098348), (0.1994281231083773, 0.75945056835123), (0.2042456906541871, 0.7576308505128356), (0.20743348403557277, 0.7569175963996474), (0.2103899282867509, 0.7583471759373632), (0.21461255463298817, 0.7597767554750791), (0.21765946887335902, 0.7597767554750791), (0.22249663081487264, 0.7583762916959762), (0.22929162422820495, 0.753726530540763), (0.2358343251069636, 0.7490767693855498), (0.24238629595021974, 0.7444270082303367), (0.24931715436136398, 0.7343908111572077)]",176.9163016,6.1111844,0
1,SÍ,8,"[(0.2254516383218348, 0.5210188114218471), (0.2116350325883582, 0.521753488626105), (0.19743162085114982, 0.5224881658303631), (0.18568113945098325, 0.5227091990766966), (0.17811239432103648, 0.5231918342182382), (0.1717863071268429, 0.5266617215070929), (0.16947581376358006, 0.5333285380533048), (0.16873198994808808, 0.5399953545995169), (0.16798816613259607, 0.5488410788032075), (0.16724434231710408, 0.5552462934542113), (0.16531895430574156, 0.5579265110151267), (0.1641373901098711, 0.5571887660723511), (0.16295582591400062, 0.5564510211295757), (0.1625180855336221, 0.5535343685293215), (0.16377968440810392, 0.552796623586546), (0.1669330166657125, 0.5552660745631506), (0.1735499945596921, 0.5577355255397551), (0.1823632517978483, 0.5601339299858485), (0.1904326852205125, 0.562532334431942), (0.1975378545887555, 0.560870497787255), (0.20393285476974218, 0.5524152807360021), (0.20686420931435787, 0.5482839931147105), (0.20699319459952253, 0.5398998225939688), (0.20419082534007155, 0.5287536572225008), (0.20065338088018142, 0.5216677329418132), (0.1940938835735081, 0.5194828828209801), (0.18517377063505452, 0.5123969585402925), (0.17474349077614987, 0.5096349636895662), (0.16621646130935946, 0.5096349636895662), (0.15661460798546545, 0.5102121084194592), (0.1500348075083546, 0.5102121084194592), (0.14572601260558593, 0.5107892531493523), (0.14262083890773647, 0.5113663978792454), (0.13965755006032016, 0.5113663978792454), (0.1354244386634957, 0.5098064156631337), (0.12890147434188162, 0.5070950808396134), (0.12156061510743332, 0.5043837460160931), (0.1151323915037914, 0.5028237637999814), (0.10907793286017917, 0.5033720529949335), (0.10536812062307865, 0.5033720529949335), (0.10394816131076783, 0.5033720529949336), (0.10343570696872925, 0.5051005503322352), (0.10292325262669069, 0.5039491977248266), (0.10292325262669069, 0.5012667184362474), (0.10331976803344875, 0.5021443926461385), (0.10371628344020682, 0.5039760488073073), (0.1041127988469649, 0.49950944651600215), (0.10450931425372297, 0.49677134156199865), (0.1043823132248819, 0.48875440817035665), (0.10325082084689349, 0.47298678252730175), (0.10162277576025096, 0.4512518762497836), (0.10068054832612591, 0.43067188396917794), (0.1006805483261259, 0.4100918916885723), (0.10395035975841956, 0.3947907278456051), (0.11050176225348782, 0.38010015414538845)]",1.5924629,6.1111844,0
-------,-------,-------,-------,-------,-------,-------
2,NO,12,"[(0.18169472790572458, 0.19576799851130816), (0.1779586572344522, 0.23480721862985393), (0.17281871157539289, 0.26408197589583626), (0.16767876591633352, 0.2933567331618186), (0.16413520936686185, 0.30955312279793884), (0.1627313343790749, 0.3257495124340591), (0.1627313343790749, 0.32643069644169104), (0.16413520936686182, 0.3302874571458446), (0.16553908435464879, 0.33764802481871503), (0.16694295934243575, 0.3385146712133621), (0.16728592477513132, 0.3369138492019427), (0.16540539733710788, 0.3353130271905232), (0.1635248698990845, 0.33032908795195554), (0.16164434246106107, 0.3205010518730185), (0.15976381502303766, 0.30858860060000615), (0.1597638150230377, 0.28866006616091855), (0.1617305487919739, 0.2657511195586037), (0.1657224225308232, 0.24304971348691534), (0.17147563398360924, 0.22168859728687945), (0.17546750772245853, 0.20822463355151033), (0.17863976357837583, 0.20851180450338988), (0.17816311112813937, 0.21177938761849674), (0.17349570220780755, 0.21504697073360363), (0.16706695557353898, 0.2258958345737175), (0.1623995466532072, 0.23778518380260422), (0.15887925361887956, 0.24640694991638398), (0.15786075300470148, 0.25166304847859966), (0.1607692066046424, 0.25497517561993127), (0.16848870675755828, 0.2517965348771469), (0.1762082069104742, 0.2475774087455898), (0.18408346061548367, 0.24335828261403272), (0.19369342102119624, 0.24250482403403972), (0.2037939692907386, 0.24359533687493085), (0.21021278370301238, 0.24359533687493085), (0.21869546236200393, 0.2486603639819372), (0.22776833276556782, 0.25372539108894354), (0.23664284049026452, 0.25879041819594983), (0.24326542263719478, 0.25879041819594983), (0.2502600469805773, 0.2545788496689365), (0.25519080707724207, 0.24951382256193017), (0.2582285059912368, 0.24023722692791044), (0.2608097435772899, 0.229569967279014), (0.26337850568901955, 0.21903373187007205), (0.26309195427483545, 0.2127090649881435), (0.2614517088889146, 0.20217282957920157), (0.2598114635029938, 0.19584816269727298), (0.2566800816861704, 0.18147916197536373), (0.25356117534367073, 0.16690143381744288), (0.25179622763492604, 0.15232370565952197), (0.25138497389791803, 0.1438046290763348), (0.25097372016091, 0.1438173015333588), (0.25097372016091, 0.15698290226663608), (0.24996330303237113, 0.17157330288158096), (0.24849216930838117, 0.18183137595413576), (0.24702103558439123, 0.1903631249943469), (0.2450466606749065, 0.19036312499434688), (0.24182868787692904, 0.1899593357818032), (0.24070327402316516, 0.19327347699065534), (0.24003857676485235, 0.19760580453304538), (0.23937387950653952, 0.20091994574189748), (0.2386728073764076, 0.2042340869507496), (0.23921533313476834, 0.2042340869507496), (0.23781669661267624, 0.20091994574189748), (0.23392515757718862, 0.19658761819950749), (0.23003361854170098, 0.19327347699065534), (0.22917459807692278, 0.19046669759337492), (0.22939771942781922, 0.18725288977029078), (0.23118093337362583, 0.18735322315605876), (0.2354570498328279, 0.18786058496763042), (0.24100246796731817, 0.18403561923681208), (0.24554026580589502, 0.17698770510403583), (0.2489959218287972, 0.16940082420477515), (0.2501899937116757, 0.158542325258411), (0.2513840655945542, 0.15729571495851982), (0.25286934781203624, 0.15125135961429467), (0.2534101271685082, 0.14792259086045573), (0.2539509065249802, 0.14553981729890492), (0.2564849262751759, 0.14642866178445754), (0.2590189460253715, 0.14642866178445754), (0.2599924537656754, 0.15122640682879154), (0.26083670615486276, 0.15602415187312552), (0.26168095854405005, 0.16164518987871798), (0.26224168463922437, 0.16575888586790144), (0.26396690483372076, 0.1650748368127509), (0.26569212502821726, 0.16262651172690593), (0.2658413271180362, 0.16194246267175536), (0.2646537024001282, 0.16043512065534632), (0.2616804251763842, 0.16043512065534635), (0.2568109382851628, 0.16290097537147732), (0.25267316696209674, 0.16713110611830267), (0.2513363401543698, 0.17298362200932185), (0.25267316696209674, 0.1754494767254528), (0.2556464441858407, 0.18133498476014367), (0.2583059506228154, 0.18475463807870351), (0.26023374149163486, 0.1897960657564159), (0.25859729107561785, 0.19145083225924003), (0.2548922982837186, 0.19459747826508753), (0.2511873054918194, 0.19117782494652766), (0.2479309088519191, 0.19090481763381528), (0.2452714024149444, 0.1890100359619504), (0.24453968684678914, 0.18711525429008555), (0.2443695223190109, 0.18328189584777532), (0.24436952231901093, 0.18259518341131256), (0.24583018808940893, 0.17652588818408232), (0.2488898119316786, 0.17045659295685206), (0.2545660593167336, 0.16411702619632135), (0.2622014421068631, 0.1566803224947765), (0.27031367425863023, 0.1492436187932317), (0.2777156007938797, 0.1392970401392389), (0.2857082182459515, 0.12868664731793358), (0.29108421215523783, 0.11577313238302922), (0.294671235187228, 0.1050418437084698), (0.30331182078708513, 0.09251047689894151), (0.3145050956554646, 0.08472492182678115), (0.3229118313322246, 0.0758723763814542), (0.3327908211945548, 0.06959322458302673), (0.34312939275331605, 0.06606234190757868), (0.34776738785479455, 0.06606234190757868), (0.35065555497757134, 0.06606234190757868), (0.3535437221003481, 0.06959322458302673), (0.3540033037967793, 0.07466794553817857), (0.3535437221003481, 0.07974266649333042), (0.3514306069684617, 0.08308658290800312), (0.34836116059579975, 0.08392224032438593), (0.34276138673167283, 0.08377007358289446), (0.3358977173691725, 0.07872812418015095), (0.3294936297031034, 0.07368617477740746), (0.32474307547248965, 0.06864422537466397), (0.32221274798102467, 0.0661105349702104), (0.3247430754724896, 0.0627645905886622)]",7.8273032,14.6762168,0
-------,-------,-------,-------,-------,-------,-------
2,NO,12,"[(0.22623256872651526, 0.2603335348248753), (0.20636084514730438, 0.2494776414821787), (0.1849668714749889, 0.24063155659145014), (0.16800569586942665, 0.22943899897504796), (0.15722389440448295, 0.22176104812159986), (0.147435861544545, 0.21238397498987407), (0.13814806487535647, 0.20159143192625914), (0.13253756127826355, 0.19079888886264423), (0.12754119064532699, 0.18235281852470292), (0.12593842463440655, 0.17635486797395586), (0.12593842463440655, 0.1763548679739559), (0.1258417961008705, 0.17985585314737423), (0.1257451675673345, 0.18267432845126672), (0.1266453984166763, 0.18549280375515925), (0.12754562926601815, 0.18549280375515922), (0.12844586011535997, 0.18481029388563344), (0.12970405017889308, 0.18412778401610766), (0.1311482673697081, 0.18839062587469052), (0.13159562517764525, 0.1883906258746905), (0.13204298298558237, 0.19120910117858303), (0.13252861604860028, 0.1954719430371659), (0.1327529184309629, 0.20403160948149074), (0.132883385459073, 0.20836879995175642), (0.13301385248718306, 0.21904637744221653), (0.13388681264133914, 0.23030753654862002), (0.13559407574451648, 0.2373058537964407), (0.1374102870772578, 0.24000734645851937), (0.13913430663696974, 0.24541480022503345), (0.14085832619668173, 0.2523859611113329), (0.14183985263034773, 0.25449488699131784), (0.14129070218557777, 0.2566038128713028), (0.14147850094624898, 0.2598512373712395), (0.14166629970692018, 0.2603523348822171), (0.14232639253373083, 0.25721218011179775), (0.14298648536054143, 0.2630995600993971), (0.14480610422768708, 0.2689869400869965), (0.14666998253788702, 0.27882390505913707), (0.14853386084808692, 0.2835727864267847), (0.14903528821408799, 0.28357278642678474), (0.14953671558008905, 0.27669510299291356), (0.14953671558008905, 0.2770343052297588), (0.14864655870202959, 0.26506853819139464), (0.14848373129111592, 0.26540774042823995), (0.14887246080317434, 0.2704958240327329), (0.14926119031523272, 0.2704958240327329), (0.15090569151031602, 0.25988251906314186), (0.1529179401505098, 0.2537263848057924), (0.15496772295689018, 0.23881163483975865), (0.15840975383905045, 0.2224893138731739), (0.16277950440133188, 0.21113879073838585)]",4.7990273,11.5948193,0
-------,-------,-------,-------,-------,-------,-------
3,BIEN,9,"[(0.3580386043754859, 0.5828417505783938), (0.3621800262018854, 0.5629023948383743), (0.3661879968466714, 0.5380234391727833), (0.36832572825783677, 0.5131444835071923), (0.36657280961178407, 0.49150011023787316), (0.3625487083729524, 0.4685501929550945), (0.360579999932388, 0.45413503209090705), (0.36073221686121093, 0.4495076849365415), (0.3608844337900338, 0.442518347787537), (0.3630053591594211, 0.44006109831283347), (0.36687687551648307, 0.4389093928515894), (0.3688919828280113, 0.43539569739570644), (0.3687861647701522, 0.43188200193982357), (0.3692778667620827, 0.43188200193982357), (0.3705089018931165, 0.43539569739570644), (0.37204473883474287, 0.4402250727404862), (0.37338159202363574, 0.44505444808526595), (0.3747184452125286, 0.44988382343004585), (0.3760118645406437, 0.4536651371888958), (0.37848761691370536, 0.4597858511749068), (0.38345490721779196, 0.4696710949317497), (0.39127644898264613, 0.4795563386885927), (0.4019641672917008, 0.49037695793502667), (0.4128982220976992, 0.507044817024672), (0.4225642560864185, 0.5190112858925173), (0.43204028185222326, 0.5237636544220896), (0.4386620561572605, 0.5285160229516619), (0.4424554823882474, 0.5323330159916433), (0.44824076279045355, 0.5263821322731177), (0.4553313890258255, 0.5199589211167863), (0.4616207712989536, 0.5156696006389992)]",39.7099448,33.7618895,0
3,Y,15,"[(0.9873713814738265, 0.22894934131537475), (0.9873713814738265, 0.23199762144132657), (0.9873582207413358, 0.23901762767231985), (0.9873582207413358, 0.24206590779827164), (0.9873582207413358, 0.24489134286259243), (0.9874170300368961, 0.24771677792691324), (0.9874758393324564, 0.24637623821285345), (0.9876992090367894, 0.23440672687689443), (0.9880420212152163, 0.22640894164597683), (0.9883848333936429, 0.21863400147669027), (0.9887134433306428, 0.214388353011049), (0.9890420532676426, 0.2112603991978365), (0.989253075647994, 0.21336840304301646), (0.9893853832709187, 0.2113521697194644), (0.9895176908938433, 0.20880519841603734), (0.9896053914626346, 0.2027289354089649), (0.9896392035822685, 0.2013076475504995), (0.9896930920314262, 0.1966526724018925), (0.9896392035822685, 0.20077690957062452), (0.9895853151331113, 0.20543188471923157), (0.9895853151331113, 0.20543188471923157), (0.9896205564387088, 0.20543188471923157), (0.9895328558699177, 0.21053297616673242), (0.9894990437502835, 0.21097909246562624), (0.9894199654865691, 0.2137338596849462), (0.9892869987736972, 0.2211436020528732), (0.9890362082416079, 0.22389836927219314), (0.9888491570239826, 0.22523119935377522), (0.9885049239726402, 0.23060099721325997), (0.9883631388990952, 0.2326785757174848), (0.9882213538255507, 0.2347561542217095), (0.9881701070038019, 0.24140996159456943), (0.9880129251700851, 0.25002315824110727), (0.9880235777671297, 0.25361581867490857), (0.9879776450561488, 0.2536158186749086), (0.9878311158194766, 0.2536158186749086), (0.9877305192937852, 0.243972997938465), (0.9877411718908299, 0.2318980346520144), (0.9876049879080814, 0.22080663980039755), (0.9873682073996415, 0.2110156197422342)]",57.2507839,33.7618895,0
3,BIEN,9,"[(0.45614361929636066, 0.5820060395367044), (0.4163270782169094, 0.5663528458348391), (0.3879749058073748, 0.5514489403174423), (0.3708387539768994, 0.5393467574620916), (0.36100322783900907, 0.5346591378851295), (0.35753157792573775, 0.5361403751278846), (0.35405992801246644, 0.5376216123706399), (0.349514621086191, 0.539102849613395), (0.348238461855042, 0.5405840868561502), (0.34513551943208876, 0.5424683851792783), (0.34339255200093194, 0.5432431862448823), (0.3416495845697751, 0.5440179873104866), (0.3411827763697673, 0.5447927883760906), (0.3423192769363295, 0.5447927883760907), (0.3446292648503275, 0.5423333530508618), (0.34685543700367844, 0.5415585519852576), (0.35040913106122296, 0.5407837509196536), (0.3539628251187675, 0.5407837509196536), (0.3571838643671212, 0.5432130634393761), (0.36105819945984313, 0.545672498764605), (0.36237012691645026, 0.5456724987646051), (0.3623545324688638, 0.5443911532614447), (0.3623389380212772, 0.5419110353060492), (0.36105268961631143, 0.5377764058965352), (0.3597664412113458, 0.5352962879411397), (0.36105268961631154, 0.5289226614101726), (0.36105268961631154, 0.5238303803823658), (0.36105268961631154, 0.5191620707411903), (0.3611532495403746, 0.5191620707411903), (0.36266079280610014, 0.5220856893331233), (0.36431395534739053, 0.5328149777192467), (0.36725336629364647, 0.5462623393826183), (0.3713626245497089, 0.5597097010459896), (0.37500023244246483, 0.5703843177516816), (0.3790307055579757, 0.5781353158654406), (0.38166344612430636, 0.5808179159047583), (0.384362221186242, 0.5780643693895801), (0.38505222833213704, 0.5780288961516499), (0.3861133259172755, 0.5780288961516499), (0.38537457493799654, 0.5796565590294888), (0.38460168882736734, 0.5851410615787394), (0.3837627682211331, 0.5914178356552527), (0.382735805767345, 0.5933488735766792), (0.382735805767345, 0.5933488735766792), (0.3831501294650904, 0.5917212106988401), (0.3843373392734649, 0.5868886039899139), (0.38598494669927036, 0.5788446055267936)]",15.9158643,33.7618895,0
