Prueba,Palabra,Indice Casilla,Coordenadas,Tiempo,Tiempo Total,Errores
3,BIEN,9,"[(0.4928635150194173, 0.5016826689243321), (0.49062959849834487, 0.46204259097576184), (0.48839568197727246, 0.4357794344425205), (0.4861617654562, 0.42430908679962204), (0.48286750018596686, 0.4128387391567235), (0.4784073621034626, 0.4178352385759358), (0.4692036539316181, 0.42419081032276196), (0.4599999457597737, 0.4419092774391179), (0.44778639376163526, 0.445570752024651), (0.4383610457181935, 0.4579639673233036), (0.43156744539737735, 0.47170303165912664), (0.42165651917457614, 0.4854420959949497), (0.4059065729379657, 0.48781826496124314), (0.39366376101970707, 0.5042514264583591), (0.3820069849491123, 0.5042514264583591), (0.36985291838645973, 0.4965500056743625), (0.3640138983726505, 0.4965500056743625), (0.36323651075363195, 0.488848584890366), (0.3627392202615741, 0.4893487453460697), (0.36224192976951636, 0.5016723513603214), (0.3614645421504978, 0.5139959573745732), (0.3611426532268528, 0.5186181426048283), (0.36159815192222633, 0.5309417486190801), (0.3612762629985813, 0.5300989657640461), (0.36006458997726476, 0.5251341581344608), (0.3596303045749668, 0.5201693505048757), (0.3571448832750324, 0.5194325298070912), (0.3554368495941166, 0.5231069892644886), (0.3537288159132007, 0.5273349761962896), (0.3548714697360996, 0.5315629631280904), (0.3535287022590641, 0.5383525431156163), (0.35378157198429144, 0.5409141361713414), (0.3548708140850071, 0.5404166817665105), (0.3569399148225788, 0.5464229881763463), (0.35704811215400734, 0.5524292945861821), (0.36202048957347904, 0.5558740079402928), (0.3669928669929508, 0.5572262406349185), (0.3703514844179157, 0.5572262406349185), (0.37522407472133673, 0.5535387337207798)]",38.65475900000001,45.53920220000009,0
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
-------,-------,-------,-------,-------,-------,-------
1,NECESITAR,2,"[(0.5556623637676243, 0.8225611805915845), (0.5556623637676243, 0.8422564625740063), (0.5564062058925633, 0.8629888236522689), (0.5576900362968449, 0.8800408840179458), (0.562048721313477, 0.8973604261875169), (0.568689209222794, 0.9119212388992326), (0.5766959190368657, 0.9190781891345996), (0.5839587867259983, 0.9218537747859973), (0.598444396257401, 0.924629360437395), (0.615913742780686, 0.9263246476650255), (0.6329994738101965, 0.9276398777961748), (0.6541917324066169, 0.9299962222576159), (0.6759370088577278, 0.9332014083862322), (0.6932326734066018, 0.9355577528476731), (0.7044697463512428, 0.9378939926624316), (0.7132686436176309, 0.9394071996212023), (0.7165947914123544, 0.9396525263786334), (0.7193679213523874, 0.9386007189750689), (0.7193679213523874, 0.9379880785942095), (0.717291086912156, 0.9371301114559192), (0.7127323627471933, 0.9351871252059955), (0.7055491924285897, 0.9315645515918749), (0.6953748285770425, 0.9273898243904132), (0.6723585724830634, 0.9231226146221176), (0.6443714141845709, 0.9188554048538226), (0.6188661456108099, 0.9156732141971606), (0.5959853231906895, 0.9141706109046954), (0.576095694303513, 0.9136684536933914), (0.5690479576587681, 0.9136684536933914), (0.5690479576587681, 0.9133731901645676), (0.5588964760303502, 0.9126463115215318), (0.5426693528890614, 0.9119194328784959), (0.5254148244857793, 0.9106558561325089), (0.5069861829280857, 0.9086011111736314), (0.4897316545248035, 0.9057270050048845), (0.48365601301193273, 0.9025183141231553), (0.4897316545248036, 0.8983683526515976), (0.5069861829280857, 0.8947550892829911)]",2.205134299999827,1.882552300000043,0
1,NECESITAR,2,"[(0.5215401023626332, 0.8203161001205457), (0.5290519535541538, 0.8385979473590863), (0.5365265190601353, 0.8608260571956649), (0.5418680727481846, 0.8847980618476884), (0.5538902521133428, 0.9064025461673753), (0.5576692342758183, 0.9234116554260272), (0.5600124776363378, 0.9370660901069658), (0.5600124776363378, 0.9465020954608935), (0.5600124776363378, 0.9524542570114154), (0.5600124776363378, 0.9562010705471057), (0.5761310696601872, 0.9589814901351948), (0.5983892619609839, 0.9598243534564992), (0.6253919601440435, 0.9598243534564992), (0.6523946583271032, 0.9598243534564992), (0.6686790525913245, 0.9598243534564992), (0.6762333154678352, 0.9578867971897143), (0.679125255346299, 0.9495569586753863), (0.6806053280830391, 0.9412271201610583), (0.6836164355278023, 0.9328972816467302), (0.689957386255265, 0.9245674431324021), (0.6947673022747047, 0.9188838839530961), (0.6960910856723792, 0.9195926070213334), (0.6907523870468146, 0.9203013300895707), (0.683882653713227, 0.9204601109027879), (0.6803427636623389, 0.9197493791580216), (0.6783339083194739, 0.918329924345018), (0.6783339083194739, 0.9216781497001664), (0.6783339083194739, 0.9250263750553147), (0.6761920928955085, 0.9297940552234666), (0.6695543110370643, 0.9354312479496019), (0.6623534619808205, 0.941068440675737), (0.6548666000366218, 0.9419379532337204), (0.6463340520858771, 0.9432889401912705), (0.6336205482482916, 0.9437704145908372), (0.6206064105033879, 0.9442518889904038), (0.6072117447853094, 0.9442250609397906), (0.5941030919551854, 0.9434491515159623), (0.5826783061027532, 0.9418305575847643), (0.5775762915611271, 0.9400201201438921), (0.5696698009967809, 0.938050669431688), (0.5605507194995885, 0.9348705053329484), (0.5508544206619267, 0.930160295963289), (0.5430741548538213, 0.9251698136329667), (0.5352938890457157, 0.9203491747379319), (0.5313922405242923, 0.9156875491142289), (0.5296467781066898, 0.9127449393272415), (0.5278009951114658, 0.9107072293758408), (0.5267308413982393, 0.9075435936450976), (0.525660687685013, 0.9039333045482654), (0.5259198546409609, 0.8999986946582812), (0.5261790215969089, 0.8951133012771624), (0.5271157264709476, 0.889531475305559), (0.5254784464836124, 0.882597833871843), (0.521072101593018, 0.8670293271541609), (0.5149883806705479, 0.8476809561252608), (0.5089046597480777, 0.8253945767879498), (0.5023986309766773, 0.8051788568496715), (0.49676478207111396, 0.7871104836463939), (0.49200257062912023, 0.7781456291675578), (0.48987845778465305, 0.7739235162734996), (0.48789989054203076, 0.7691643536090862), (0.48662039339542423, 0.7644051909446727), (0.48750661015510593, 0.7551846921443949), (0.49029025435447726, 0.7459641933441171), (0.4937504559755329, 0.7413132071495065), (0.502457940578461, 0.7445420265197763), (0.5058722019195561, 0.747770845890046), (0.5086228847503665, 0.7564328789711008), (0.5079261958599094, 0.763753157854081), (0.5079081147909168, 0.7672071218490609), (0.5059445768594746, 0.7672071218490609), (0.5111377358436588, 0.7687234401702889), (0.5183193236589435, 0.7687234401702889), (0.5289482831954959, 0.7695963799953469), (0.5363246500492099, 0.7682703018188486), (0.5424491763114933, 0.7669442236423502), (0.5464334666728977, 0.7641018271446237), (0.5486289978027348, 0.7619028091430673), (0.5486082732677464, 0.7610455453395852), (0.5467987895011907, 0.7601726055145273), (0.5422188878059392, 0.7601726055145273), (0.5356984198093419, 0.7601726055145273), (0.5261265218257908, 0.7610455453395852), (0.5162294596433643, 0.7605607450008401), (0.5081211566925052, 0.760948884487153), (0.4995499670505527, 0.7604640841484078), (0.4910096615552906, 0.7599792838096627), (0.48301584720611607, 0.7589489698410044), (0.47756345272064243, 0.7570668518543252), (0.471122828125954, 0.7540980339050302), (0.4657199770212177, 0.7447870194911965), (0.4632150381803516, 0.735476005077363), (0.4657199770212177, 0.7267105042934426), (0.4682249158620838, 0.7192189753055581)]",10.562396199999966,1.882552300000043,0
1,YO,4,"[(0.08299263864755672, 0.7684191763401041), (0.08342138454318089, 0.7427585780620584), (0.08344262763857883, 0.7260922372341165), (0.08301388174295468, 0.7110033154487618), (0.08236865848302884, 0.699887043237687), (0.08215218111872716, 0.688770771026612), (0.08128596097230953, 0.6809760510921485), (0.07934536784887355, 0.6731813311576851), (0.0763662301003937, 0.6760443508625038), (0.07300536632537882, 0.6820925295352943), (0.06938192285597364, 0.691790586709977), (0.06505648903548757, 0.7072078347206123), (0.06097376756370106, 0.7226250827312477), (0.05803813636302987, 0.7345384001731882), (0.055538544058800134, 0.7432665586471566), (0.053144878894091044, 0.7432665586471567), (0.05167420096695462, 0.7338974893093119), (0.050741132721305274, 0.7294225633144388), (0.049867021664977446, 0.7200534939765939), (0.04898943863809145, 0.710684424638749), (0.04825833328068293, 0.7000125885009775), (0.04759997874498404, 0.6936315417289742), (0.047079532966018085, 0.6823563516139991), (0.04660631418228185, 0.675975304841996), (0.04603727385401762, 0.6656894624233253), (0.045478408411145574, 0.6617846667766578), (0.0446902576833967, 0.6575667917728432), (0.04373948834836519, 0.6533489167690284), (0.04332149587571657, 0.6491310417652137), (0.043263911083341, 0.6455696046352394), (0.04331922009587324, 0.642008167505265), (0.04313459619879759, 0.642008167505265), (0.0431467734277252, 0.642008167505265), (0.04286143295466936, 0.6387598097324378), (0.04247714281082189, 0.6387598097324378), (0.04197995886206663, 0.6387598097324378), (0.04171778336167371, 0.637762218713761), (0.0420706100761894, 0.6367646276950844), (0.04191549420356787, 0.6400129854679115), (0.0413468092679981, 0.6441574573516853), (0.04085304327309168, 0.6474058151245125), (0.04081998988986051, 0.6474058151245125), (0.040611300989985825, 0.6478016436100014), (0.04111924357712305, 0.6471998810768135), (0.042179090157151586, 0.6462022900581367), (0.04316401779651678, 0.6424315989017493), (0.043711356818676356, 0.6354452431201941), (0.043874187767506005, 0.6322763144969945), (0.04382832981646097, 0.6291073858737951), (0.04378247186541594, 0.6212249159812931), (0.043876557424664855, 0.6170116603374486), (0.044412827119231585, 0.6170116603374486), (0.044994954764843345, 0.6127984046936039), (0.04557708241045511, 0.6058606088161473), (0.04632592909038103, 0.6031360685825352), (0.04662977829575575, 0.6004115283489232), (0.046691424772143726, 0.5969872653484349), (0.04681246839463747, 0.5921730935573581), (0.04693351201713121, 0.5863113105297093), (0.04674950167536772, 0.5842216789722448), (0.046986952424049745, 0.5821320474147801), (0.04703641831874885, 0.5769699871540074), (0.04702648706734218, 0.5682467281818394), (0.047016555815935515, 0.5568989098072057), (0.0471885599195961, 0.5417789399623876), (0.0472441568970684, 0.5266589701175695), (0.0472441568970684, 0.5153111517429355), (0.04706835262477435, 0.5131518304347995), (0.04666164666414298, 0.5173892199993135), (0.04582696072757281, 0.5241783738136294), (0.044868597760796915, 0.5369161009788516), (0.0440210826694969, 0.5495342016220096), (0.04334937185049093, 0.5579149127006535), (0.04297965019941366, 0.5724041879177098), (0.04278488568961657, 0.5885655581951146), (0.04257838129997289, 0.601002442836762), (0.04219410270452535, 0.6171928405761724), (0.042080636322498685, 0.6333832383155829), (0.041625270247459774, 0.6434650719165809), (0.041240991652012234, 0.6493230462074286), (0.04078214354813135, 0.6529569327831275), (0.04057215712964571, 0.6529569327831275), (0.0400913584977392, 0.6529569327831275), (0.03988137207925356, 0.6529569327831275), (0.039671385660767916, 0.6475381255149848), (0.04002692736685312, 0.6376555621623999), (0.04082035906612909, 0.6253340601921087), (0.04193182475864923, 0.595027562975884), (0.04321183189749754, 0.5476083040237432), (0.04451288990676439, 0.505607852339745), (0.04543735533952749, 0.4629498809576039), (0.04594613313674963, 0.4097346782684331), (0.04633674435317553, 0.36494115591049237), (0.04684975594282188, 0.33459279239177747), (0.04803138375282325, 0.3042444288730625), (0.050109850615263365, 0.2759758993983273), (0.053603700920939835, 0.26070353984832806), (0.05848664306104223, 0.2549944952130322), (0.06403563991189043, 0.2519530534744267), (0.06889496967196507, 0.2519530534744267), (0.0728785112500195, 0.2549944952130322), (0.07542446702718777, 0.26064120531082197), (0.07638146355748218, 0.2692993834614758), (0.07734227403998417, 0.2839366048574452), (0.07830308452248616, 0.2955323845148091), (0.07986993566155476, 0.307128164172173), (0.08218380361795467, 0.3161186754703526), (0.08557142093777699, 0.32034784257411997), (0.08917640298605008, 0.3185979664325718), (0.09500269666314168, 0.32076878845691725), (0.10181221663951918, 0.32516346573829696), (0.1101664930582051, 0.3335461974143986), (0.12172578722238585, 0.34940096735954324), (0.13747624605894132, 0.36821943521499667), (0.15830773711204574, 0.3831172049045567), (0.18313627243042035, 0.39579111933708233), (0.2101098403334622, 0.4058984190225606), (0.23781802952289627, 0.42379176616668734), (0.2630068033933644, 0.4537488788366321), (0.2859661936759953, 0.4837059915065769), (0.3078941553831104, 0.5210716456174855), (0.3259982049465183, 0.5345798552036289), (0.34051717519760166, 0.5500459790229801), (0.35711591541767157, 0.5504846394062046), (0.375499710440636, 0.5509232997894291), (0.3926176011562351, 0.5558521509170535), (0.4097618043422703, 0.5872868657112125), (0.42821026444435156, 0.6087143301963811), (0.4457991749048237, 0.6309035480022436), (0.4634332656860355, 0.6550409495830543), (0.48407178223133124, 0.6718879699707039), (0.5075158596038822, 0.6846651315689094), (0.5282273709774021, 0.6919834196567544), (0.5498453676700596, 0.7028492569923409), (0.5673487842082982, 0.7117669105529794), (0.5806377768516545, 0.7160762131214151), (0.5948123455047611, 0.7203855156898508), (0.6089869141578679, 0.7307932913303384), (0.6181848526000981, 0.7368917644023905), (0.63172277212143, 0.7429902374744424), (0.6370374977588661, 0.7490887105464944), (0.6441660940647133, 0.7551871836185465)]",22.04615879999983,1.882552300000043,0
1,AYUDA,3,"[(0.8088725209236156, 0.9547918081283587), (0.8076182842254649, 0.9551233828067798), (0.8059329748153697, 0.9555336356163042), (0.8038351476192485, 0.955626869201662), (0.802242660522462, 0.9553283751010913), (0.8024283528327952, 0.9544099509716052), (0.8031917989254008, 0.9531434953212756), (0.8061159789562236, 0.9517259359359759), (0.8112551510334025, 0.9502819538116473), (0.81924285888672, 0.9482677459716815), (0.8294410884380353, 0.9440538048744219), (0.8416749894619, 0.9384695231914538), (0.8554695785045638, 0.9315900504589099), (0.8706245303154005, 0.9213231086730975), (0.8851315200328841, 0.9083347320556656), (0.8978421449661271, 0.8963861823081984), (0.908408814668657, 0.8857398390769973), (0.915254062414171, 0.876539790630342), (0.9185603082180039, 0.871070653200151), (0.9201733469963089, 0.8692849040031447), (0.9208648622035996, 0.8688687384128585), (0.9209012150764482, 0.8688687384128585), (0.9209375679492966, 0.8688687384128585), (0.920647674798967, 0.8692849040031447), (0.9199561595916764, 0.8705321371555342), (0.9188694596290604, 0.872673869132997), (0.9172265052795426, 0.8753541171550765), (0.9125866889953629, 0.880045717954637), (0.9056222975254073, 0.8843211531639114), (0.8985605835914626, 0.8877655208110824), (0.8893844485282912, 0.8924989521503462), (0.8782315015792861, 0.8978071630001084), (0.8700754165649428, 0.9019124209880844), (0.8630832433700576, 0.9077493906021135), (0.8553273797035231, 0.9152739286422745), (0.8498393833637252, 0.9208478152751939), (0.846128207445146, 0.925446510314943), (0.8410345494747175, 0.9293668210506455), (0.8387739300727859, 0.9313643276691452), (0.8387227296829236, 0.9313032507896439), (0.8402271032333386, 0.9296156823635118), (0.8404688417911542, 0.9277900099754349)]",26.035474799999974,1.882552300000043,0
1,AYUDA,3,"[(0.7942229509353649, 0.9831418991088887), (0.7912949204444896, 0.9834885537624378), (0.7896004796028148, 0.9837185621261616), (0.7920648157596599, 0.983671623468401), (0.7981267750263225, 0.9833292186260243), (0.8050911843776714, 0.9825067520141622), (0.811153143644334, 0.9817672789096852), (0.8156524479389201, 0.9811402022838612), (0.8176874160766612, 0.9807543337345143), (0.8173583507537853, 0.9801758527755757), (0.8170292854309092, 0.9799944400787373), (0.8158143699169169, 0.9798130273818989), (0.8149285197258006, 0.979252392053606), (0.8140426695346843, 0.9787689447402974), (0.813156819343568, 0.9783684372901936), (0.8122709691524517, 0.9776868104934712), (0.813156819343568, 0.9767256617546101), (0.8144427657127391, 0.975916713476183), (0.8171835720539103, 0.9746981263160726), (0.8199243783950818, 0.9734013020992298), (0.8237849414348615, 0.9716425240039845), (0.8267596542835248, 0.9701632678508778), (0.8293342709541335, 0.9682736635208149), (0.8307693481445326, 0.9660253345966359), (0.8322044253349319, 0.9633247256279012), (0.8325197458267226, 0.9611147165298479), (0.8330073773860945, 0.9584670245647449), (0.8334950089454665, 0.9564567029476183), (0.8336673200130477, 0.9549971818923968), (0.8338396310806289, 0.9543105721473711), (0.8345168054103865, 0.953574091196062), (0.8350216686725631, 0.9532263875007647), (0.8350216686725631, 0.9522220015525835), (0.8350216686725631, 0.9512176156044024), (0.8344752073287978, 0.9508663654327411), (0.8329752206802382, 0.9509119510650652), (0.8313826978206647, 0.9510553479194659), (0.8301946580410016, 0.9521986186504382), (0.8290066182613384, 0.9533418893814105), (0.8283650398254405, 0.9534852862358111), (0.8281721234321605, 0.9534852862358111), (0.8278446316719066, 0.9534363806247729)]",38.35980040000004,1.882552300000043,0
-------,-------,-------,-------,-------,-------,-------
